title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Tommy Boy",movie,"Adventure, Comedy",1995,tt0114694,7.1,100875,
"The Crying Game",movie,"Crime, Drama, Romance",1992,tt0104036,7.2,61647,
"The Olsen Gang",movie,"Comedy, Crime, Family",1968,tt0063386,6.6,2693,
"The Olsen Gang in Jutland",movie,"Comedy, Crime, Family",1971,tt0067524,7.2,2639,
"The Olsen Gang on the Track",movie,"Comedy, Crime, Family",1975,tt0073482,7.2,2283,
"The Olsen Gang Sees Red",movie,"Comedy, Crime, Family",1976,tt0075002,7.7,2570,
"The Defiant Ones",movie,"Crime, Drama",1958,tt0051525,7.6,18977,
House,movie,"Comedy, Fantasy, Horror",1985,tt0091223,6.1,31323,
"The Mission",movie,"Adventure, Drama, History",1986,tt0091530,7.4,68171,
"The Lift",movie,"Horror, Mystery, Sci-Fi",1983,tt0087622,6.1,8145,
"Memories of Murder",movie,"Crime, Drama, Mystery",2003,tt0353969,8.1,238127,
"The Ghost Writer",movie,"Crime, Drama, Mystery",2010,tt1139328,7.2,173703,
"Halloween: Resurrection",movie,"Horror, Thriller",2002,tt0220506,3.9,51412,
"Welcome to the Dollhouse",movie,"Comedy, Drama",1995,tt0114906,7.4,38607,
"The Son's Room",movie,Drama,2001,tt0208990,7.3,22014,
"The Amityville Horror",movie,Horror,1979,tt0078767,6.2,46740,
Manhunter,movie,"Crime, Mystery, Thriller",1986,tt0091474,7.2,86360,
"Red Eye",movie,Thriller,2005,tt0421239,6.4,154292,
"Battle of Britain",movie,"Action, Drama, History",1969,tt0064072,6.9,25545,
"The Warriors",movie,"Action, Crime, Thriller",1979,tt0080120,7.5,115046,
"The Tenant",movie,"Drama, Thriller",1976,tt0074811,7.5,49489,
"They Call Me Renegade",movie,"Action, Adventure, Comedy",1987,tt0095975,6.2,3373,
Frost/Nixon,movie,"Biography, Drama, History",2008,tt0870111,7.6,114325,
"The Silence",movie,Drama,1963,tt0057611,7.7,21950,
"Body Double",movie,"Crime, Drama, Mystery",1984,tt0086984,6.8,42033,
"Cobra Verde",movie,"Adventure, Drama",1987,tt0094888,6.9,8740,
"Little Man Tate",movie,Drama,1991,tt0102316,6.6,16840,
"Pretty in Pink",movie,"Comedy, Drama, Romance",1986,tt0091790,6.7,92034,
Thief,movie,"Action, Crime, Drama",1981,tt0083190,7.4,43248,
"Lawnmower Man 2: Beyond Cyberspace",movie,"Action, Sci-Fi, Thriller",1995,tt0116839,2.6,10538,
"Book of Shadows: Blair Witch 2",movie,"Adventure, Fantasy, Horror",2000,tt0229260,4,41014,
"The Emerald Forest",movie,"Action, Adventure, Drama",1985,tt0089087,6.9,11561,
"The Misfits",movie,"Drama, Romance, Western",1961,tt0055184,7.2,24400,
Kingpin,movie,"Comedy, Sport",1996,tt0116778,6.9,93588,
"Cabin Fever",movie,Horror,2002,tt0303816,5.6,85943,
"Small Soldiers",movie,"Action, Adventure, Comedy",1998,tt0122718,6.3,108303,
"Blues Brothers 2000",movie,"Action, Comedy, Crime",1998,tt0118747,4.9,35450,
"Hellraiser III: Hell on Earth",movie,Horror,1992,tt0104409,5.5,36513,
"Support Your Local Sheriff!",movie,"Comedy, Western",1969,tt0065051,7.4,13409,
"It's a Mad Mad Mad Mad World",movie,"Action, Adventure, Comedy",1963,tt0057193,7.5,48294,
"The Great Train Robbery",movie,"Adventure, Crime, Drama",1978,tt0079240,6.9,20519,
"The Exorcist III",movie,"Drama, Horror, Mystery",1990,tt0099528,6.5,41017,
"Another 48 Hrs.",movie,"Action, Comedy, Crime",1990,tt0099044,5.9,46068,
"Stir of Echoes",movie,"Horror, Mystery, Thriller",1999,tt0164181,6.9,90412,
"Through a Glass Darkly",movie,Drama,1961,tt0055499,7.9,28297,
"Even Angels Eat Beans",movie,"Action, Comedy, Crime",1973,tt0069713,6.2,3483,
"Thieves and Robbers",movie,"Comedy, Crime",1983,tt0083715,5.6,2320,
Bomber,movie,"Action, Comedy, Crime",1982,tt0083675,6.2,4578,
"Go for It",movie,"Action, Adventure, Comedy",1983,tt0085601,7.1,11517,
"The Haunting",movie,"Fantasy, Horror, Mystery",1999,tt0171363,5,82391,
"Flushed Away",movie,"Action, Adventure, Animation",2006,tt0424095,6.6,143843,
"Mamma Mia!",movie,"Comedy, Musical, Romance",2008,tt0795421,6.5,289220,
"Vanity Fair",movie,Drama,2004,tt0241025,6.2,23835,
"Old School",movie,Comedy,2003,tt0302886,7,249895,
"If It's Tuesday, This Must Be Belgium",movie,"Adventure, Comedy, Romance",1969,tt0064471,6.3,2514,
"Blow Out",movie,"Crime, Drama, Mystery",1981,tt0082085,7.4,69131,
Ran,movie,"Action, Drama, War",1985,tt0089881,8.2,142611,
"Five Fingers",movie,"Drama, Thriller",2006,tt0428541,6.3,8486,
"The Virgin Spring",movie,Drama,1960,tt0053976,8,32668,
"Le cercle rouge",movie,"Crime, Drama, Thriller",1970,tt0065531,7.9,30087,
Following,movie,"Crime, Mystery, Thriller",1998,tt0154506,7.4,105446,
"Joyeux Noel",movie,"Drama, History, Music",2005,tt0424205,7.6,33075,
"Street Fighter",movie,"Action, Adventure, Comedy",1994,tt0111301,4.1,77439,
"Halloween H20: 20 Years Later",movie,"Horror, Thriller",1998,tt0120694,5.8,85132,
"Crime Busters",movie,"Action, Adventure, Comedy",1977,tt0074442,7.1,13432,
Bloodsport,movie,"Action, Biography, Drama",1988,tt0092675,6.8,98265,
Stroszek,movie,"Comedy, Drama",1977,tt0075276,7.7,15901,
"Bad Lieutenant: Port of Call New Orleans",movie,"Crime, Drama, Mystery",2009,tt1095217,6.6,82742,
"Smiles of a Summer Night",movie,"Comedy, Romance",1955,tt0048641,7.7,15118,
"The Secret of NIMH",movie,"Adventure, Animation, Drama",1982,tt0084649,7.5,47358,
"Red Road",movie,"Drama, Mystery, Thriller",2006,tt0471030,6.8,13981,
"Chitty Chitty Bang Bang",movie,"Adventure, Family, Fantasy",1968,tt0062803,7,52574,
"Camille Claudel",movie,"Biography, Drama, History",1988,tt0094828,7.3,7672,
"The Enigma of Kaspar Hauser",movie,"Biography, Drama, History",1974,tt0071691,7.7,19504,
Sanjuro,movie,"Action, Drama, Thriller",1962,tt0056443,8,42581,
Peacock,movie,"Drama, Mystery, Thriller",2010,tt1188113,6.2,12811,
"A Series of Unfortunate Events",movie,"Adventure, Comedy, Family",2004,tt0339291,6.8,225901,
"Intolerable Cruelty",movie,"Comedy, Crime, Romance",2003,tt0138524,6.3,103608,
"The Deer Hunter",movie,"Drama, War",1978,tt0077416,8.1,374085,
"Buena Vista Social Club",movie,"Documentary, Music",1999,tt0186508,7.6,21291,
"Rob Roy",movie,"Adventure, Biography, Drama",1995,tt0114287,6.9,47416,
"The Hound of the Baskervilles",movie,"Horror, Mystery",1959,tt0052905,6.9,13311,
"Viva Maria!",movie,"Adventure, Comedy, Romance",1965,tt0059956,6.3,4185,
Beethoven,movie,"Comedy, Drama, Family",1992,tt0103786,5.7,78707,
"Jab We Met",movie,"Comedy, Drama, Romance",2007,tt1093370,7.9,61650,
Wimbledon,movie,"Comedy, Romance, Sport",2004,tt0360201,6.3,68015,
"Teen Wolf",movie,"Comedy, Fantasy, Romance",1985,tt0090142,6.1,62594,
"Sexy Beast",movie,"Crime, Drama, Thriller",2000,tt0203119,7.3,72364,
"Trinity Is Still My Name",movie,"Comedy, Western",1971,tt0068154,7.2,18197,
Amistad,movie,"Biography, Drama, History",1997,tt0118607,7.3,85011,
"The SpongeBob SquarePants Movie",movie,"Adventure, Animation, Comedy",2004,tt0345950,7.2,107342,
"Watership Down",movie,"Adventure, Animation, Drama",1978,tt0078480,7.5,41261,
"The Return of the Pink Panther",movie,"Comedy, Crime, Mystery",1975,tt0072081,7,30936,
Intimacy,movie,"Drama, Romance",2001,tt0256103,6,13608,
Sabrina,movie,"Comedy, Drama, Romance",1995,tt0114319,6.3,45745,
"Big Fat Liar",movie,"Adventure, Comedy, Family",2002,tt0265298,5.5,41601,
Yojimbo,movie,"Action, Drama, Thriller",1961,tt0055630,8.2,136870,
